Key,Player Name,Player Team,Season,Jersey,Position,Games Played,Games Started,Season Age,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards,Penalties,Penalty Yards,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2016 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Randy Bullock,Bengals,2016,4,K,3,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,13.0,0.0,0.0,0.0,95.0,1.0,8.0,820.0,,,,,,,6.0,22.5,0.0,43.0,5.0,135.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Randy Bullock,Steelers,2016,4,K,1,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,0.0,0.0,0.0,78.0,0.0,3.0,375.0,,,,,,,3.0,38.667,0.0,44.0,3.0,116.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2016 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Randy Bullock,Giants,2016,4,K,1,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0,21.0,1.0,3.0,255.0,,,,,,,,,,,,,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Randy Bullock,Bengals,2017,4,K,15,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,65.0,0.0,0.0,1.0,782.0,0.0,30.0,4071.0,,,,,,,20.0,32.842,1.0,51.0,18.0,624.0,33.0,0.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2018 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Randy Bullock,Bengals,2018,4,K,16,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,7.0,79.0,1.0,0.0,1.0,705.0,1.0,45.0,4969.0,,,,,,,23.0,33.857,2.0,51.0,19.0,711.0,41.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6444feb1-f5a4-4b45-9a45-79308a4445fd 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Brandon McManus,Broncos,2014,8,K,15,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,10.0,91.0,0.0,0.0,0.0,706.0,0.0,64.0,5981.0,,,,,,,13.0,21.0,0.0,44.0,9.0,273.0,41.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6444feb1-f5a4-4b45-9a45-79308a4445fd 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Brandon McManus,Broncos,2015,8,K,16,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.27,21.0,41.0,0.0,4.27,0.0,41.0,21.0,0.0,1.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,81.0,3.0,0.0,0.0,492.0,3.0,55.0,5046.0,,,,,,,35.0,30.657,0.0,57.0,30.0,1073.0,36.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6444feb1-f5a4-4b45-9a45-79308a4445fd 2016 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Brandon McManus,Broncos,2016,8,K,16,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,79.0,3.0,1.0,1.0,440.0,2.0,51.0,4836.0,,,,,,,34.0,30.176,0.0,55.0,29.0,1026.0,33.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,
6444feb1-f5a4-4b45-9a45-79308a4445fd 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Brandon McManus,Broncos,2017,8,K,16,0,26,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,1.0,0.0,26.0,26.0,0.0,0.0,1.0,26.0,26.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,71.0,6.0,0.0,0.0,460.0,2.0,45.0,4191.0,,,,,,,32.0,28.8,2.0,53.0,24.0,864.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6444feb1-f5a4-4b45-9a45-79308a4445fd 2018 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Brandon McManus,Broncos,2018,8,K,16,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,10.0,73.0,4.0,0.0,1.0,581.0,0.0,42.0,4473.0,,,,,,,25.0,30.04,0.0,53.0,20.0,751.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
