Key,Player Name,Player Team,Season,Jersey,Position,Games Played,Games Started,Season Age,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards,Penalties,Penalty Yards,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
e7d6ae25-bf15-4660-8b37-c37716551de3 2017 a20471b4-a8d9-40c7-95ad-90cc30e46932,Davante Adams,Packers,2017,17,WR,14,14,25,11.959,8.0,7.0,7.0,55.0,55.0,74.0,10.0,117.0,10.0,885.0,338.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
e7d6ae25-bf15-4660-8b37-c37716551de3 2018 a20471b4-a8d9-40c7-95ad-90cc30e46932,Davante Adams,Packers,2018,17,WR,15,15,26,12.486,4.0,5.0,5.0,57.0,25.0,111.0,14.0,169.0,13.0,1386.0,475.0,87.0,,,,,,,,,,,,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2014 33405046-04ee-4058-a950-d606f8c30852,Adam Thielen,Vikings,2014,19,WR,16,2,24,17.125,0.0,0.0,0.0,44.0,44.0,8.0,1.0,13.0,1.0,137.0,34.0,0.0,,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,16.5,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2015 33405046-04ee-4058-a950-d606f8c30852,Adam Thielen,Vikings,2015,19,WR,16,2,25,12.0,1.0,13.0,2.0,30.0,0.0,12.0,0.0,18.0,0.0,144.0,47.0,5.0,,,,,,,,,,,,,,4.0,22.25,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2016 33405046-04ee-4058-a950-d606f8c30852,Adam Thielen,Vikings,2016,19,WR,16,10,26,14.014,5.0,71.0,1.0,71.0,71.0,69.0,5.0,92.0,5.0,967.0,299.0,92.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,2.0,7.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,,,,,,,,,,,,,1.3330000000000002,3.0,9.0,0.0,6.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2017 33405046-04ee-4058-a950-d606f8c30852,Adam Thielen,Vikings,2017,19,WR,16,16,27,14.022,0.0,9.0,6.0,65.0,65.0,91.0,7.0,142.0,4.0,1276.0,453.0,62.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,40.0,1.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2018 33405046-04ee-4058-a950-d606f8c30852,Adam Thielen,Vikings,2018,19T,WR,16,16,28,12.15,3.0,6.0,3.0,68.0,45.0,113.0,13.0,153.0,9.0,1373.0,416.0,85.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,-1.0,0.0,30.0,17.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
c48c21d9-0ae5-478c-ad34-30a660cfa9b8 2014 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Mike Evans,Buccaneers,2014,13,WR,15,15,21,15.456,0.0,0.0,4.0,56.0,56.0,68.0,13.0,123.0,12.0,1051.0,173.0,0.0,,,,,,,,,,,,4.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
c48c21d9-0ae5-478c-ad34-30a660cfa9b8 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Mike Evans,Buccaneers,2015,13,WR,15,14,22,16.297,1.0,94.0,17.0,68.0,40.0,74.0,14.0,148.0,3.0,1206.0,232.0,95.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
c48c21d9-0ae5-478c-ad34-30a660cfa9b8 2016 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Mike Evans,Buccaneers,2016,13,WR,16,16,23,13.76,1.0,101.0,5.0,45.0,45.0,96.0,13.0,173.0,12.0,1321.0,179.0,65.0,,,,,,,,,,,,3.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
